main_id,event_title,event_date,industry_name,report_rank,report_id,report_title,institution,publish_date,summary_status,relevance_score,matched_terms,pdf_path,text_path,error
26314,SAF需求增长推动UCO原料量价齐升,2026-06-25,生物质燃料,1,TSR_d71d211dfddb9051e352,“双碳”系列报告之生物柴油：SAF+船燃双向需求带动，国内产业链前景大好,中邮证券,20260327,source-extractive-draft,90,生物柴油、SAF,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260327_TSR_d71d211dfddb9051e352_中邮证券_“双碳”系列报告之生物柴油：SAF+船燃双向需求带动，国内产业链前景大好.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/tushare_TSR_d71d211dfddb9051e352.txt,
26314,SAF需求增长推动UCO原料量价齐升,2026-06-25,生物质燃料,2,TSR_a1661e5e9d2cbbde60ae,基础化工行业深度报告：SAF助力航空减排，国内具备UCO特色优势,华金证券,20260206,source-extractive-draft,90,SAF、UCO,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260206_TSR_a1661e5e9d2cbbde60ae_华金证券_基础化工行业深度报告：SAF助力航空减排，国内具备UCO特色优势.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/tushare_TSR_a1661e5e9d2cbbde60ae.txt,
26314,SAF需求增长推动UCO原料量价齐升,2026-06-25,生物质燃料,3,3007238031,生物柴油深度报告：绿色革命引擎，政策与需求双轮驱动，产业链核心环节凸显,长城证券,20260113,source-extractive-draft,45,生物柴油,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260113_3007238031_长城证券_生物柴油深度报告：绿色革命引擎，政策与需求双轮驱动，产业链核心环节凸显.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/hczq_3007238031.txt,
26562,央视报道功率半导体缺货订单排至五个月后,2026-06-29,半导体生产原料,1,TSR_57999d968ad5975191db,计算机行业研究：电Ram和功率半导体开启涨价潮,国金证券,20260629,source-extractive-draft,75,半导体、功率半导体,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260629_TSR_57999d968ad5975191db_国金证券_计算机行业研究：电Ram和功率半导体开启涨价潮.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/tushare_TSR_57999d968ad5975191db.txt,
26562,央视报道功率半导体缺货订单排至五个月后,2026-06-29,半导体生产原料,2,3007392497,北交所策略专题报告：功率半导体涨价潮叠加AI算力需求：北证关键部件+材料+测试三细分赛道梳理,开源证券,20260621,source-extractive-draft,75,半导体、功率半导体,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260621_3007392497_开源证券_北交所策略专题报告：功率半导体涨价潮叠加AI算力需求：北证关键部件+材料+测试三细分赛道梳理.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/hczq_3007392497.txt,
26562,央视报道功率半导体缺货订单排至五个月后,2026-06-29,半导体生产原料,3,3007391126,从重掺硅片涨价看功率半导体，景气周期已来,财通证券,20260616,source-extractive-draft,75,半导体、功率半导体,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260616_3007391126_财通证券_从重掺硅片涨价看功率半导体，景气周期已来.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/hczq_3007391126.txt,
27202,中国生物制药与阿斯利康达成19亿美元授权,2026-07-08,医药研发服务,1,TSR_42fa636145109980a181,创新药CRO与医疗器械CRO商业模式差异分析,摩熵数科(成都)医药科技,20260705,source-extractive-draft,45,CRO,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260705_TSR_42fa636145109980a181_摩熵数科(成都)医药科技_创新药CRO与医疗器械CRO商业模式差异分析.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/tushare_TSR_42fa636145109980a181.txt,
27202,中国生物制药与阿斯利康达成19亿美元授权,2026-07-08,医药研发服务,2,3007402109,口服GLP-1创造减重市场需求增量，深度绑定中国CDMO,南京证券,20260629,source-extractive-draft,45,CDMO,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260629_3007402109_南京证券_口服GLP-1创造减重市场需求增量，深度绑定中国CDMO.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/hczq_3007402109.txt,
27202,中国生物制药与阿斯利康达成19亿美元授权,2026-07-08,医药研发服务,3,3007385955,新版GCP对标国际标准、新增数据治理、强化主体责任，赋能CRO与创新药企,江海证券,20260611,source-extractive-draft,65,CRO,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260611_3007385955_江海证券_新版GCP对标国际标准、新增数据治理、强化主体责任，赋能CRO与创新药企.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/hczq_3007385955.txt,
27308,英伟达确认CPO已在Spectrum-X量产,2026-07-09,光通信设备,1,3007410154,光互联：CPO提速，NPO先行,浙商证券,20260703,source-extractive-draft,87,CPO、NPO,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/pdfs/20260703_3007410154_浙商证券_光互联：CPO提速，NPO先行.pdf,D:/hczq工作桌面/2.事件驱动模型/1.迅兔事件数据获取/industry_report_corpus/texts/hczq_3007410154.txt,
